total,pde,data,ic,bc,amplitude,lr
0.03167898580431938,818168.5,0.0003080418973695487,0.0008684437489137053,0.0008344267262145877,0.0023361777421087027,0.001
0.03202424570918083,869301.6875,0.00031126438989304006,0.0008276785374619067,0.0009199106716550887,0.0024012650828808546,0.001
0.03211608901619911,799523.5,0.000312409654725343,0.0008532664505764842,0.0008481338154524565,0.002442348515614867,0.001
0.030703561380505562,794594.75,0.00029864662792533636,0.0008050883188843727,0.000825245981104672,0.0023731947876513004,0.001
0.03168408200144768,859832.9375,0.0003081484464928508,0.0007935792091302574,0.000897456833627075,0.002371900947764516,0.001
0.03010508045554161,851533.625,0.0002923398860730231,0.0007954565808176994,0.0008990960195660591,0.0023816186003386974,0.001
0.030134093016386032,842561.0,0.0002926024317275733,0.0008088838658295572,0.0008911083568818867,0.002385546686127782,0.001
0.030274832621216774,796034.3125,0.00029419863130897284,0.000831061159260571,0.0008310562116093934,0.002391022862866521,0.001
0.031101742759346962,800095.25,0.0003025544574484229,0.0007867838721722364,0.0008580541471019387,0.002387670800089836,0.001
0.030781634151935577,828882.9375,0.00029980120598338544,0.0007558776997029781,0.00079872808419168,0.0024210058618336916,0.001
0.03056483529508114,761243.3125,0.00029703511972911656,0.0008198217255994678,0.0008547002798877656,0.002406212966889143,0.001
0.029652876779437065,795685.6875,0.00028812134405598044,0.0007812926778569818,0.0008525106823071837,0.0023840577341616154,0.001
0.03007865697145462,794895.4375,0.00029211025685071945,0.0008139217970892787,0.0008730211993679404,0.0024160360917448997,0.001
0.02903810515999794,773279.9375,0.0002822762180585414,0.0007819052552804351,0.0007908417610451579,0.00241098552942276,0.001
0.029077474027872086,760435.4375,0.00028248727903701365,0.0007772723329253495,0.00083318812539801,0.002351845847442746,0.001
0.030166033655405045,808819.875,0.0002930689661297947,0.0008248400408774614,0.000844836700707674,0.002430019900202751,0.001
0.028880933299660683,774586.0,0.0002809658762998879,0.0007419370813295245,0.0007788786315359175,0.0023936470970511436,0.001
0.029308857396245003,753178.0,0.00028504699002951384,0.0007456132443621755,0.0008151649381034076,0.002376948017627001,0.001
0.02973317913711071,801957.1875,0.0002892102929763496,0.0007588847656734288,0.000818900007288903,0.002325704786926508,0.001
0.028663240373134613,826723.25,0.000278591294772923,0.0007829102105461061,0.0007782786851748824,0.0023515820503234863,0.001
0.02871149592101574,740372.25,0.00027904988382942975,0.0007592940237373114,0.0008063761051744223,0.0023672610986977816,0.001
0.028185255825519562,730449.0625,0.0002738497860264033,0.0007468812400475144,0.0008052962948568165,0.0024189555551856756,0.001
0.027165016159415245,775573.5,0.00026373800938017666,0.0007183594861999154,0.0008161569130606949,0.002395648043602705,0.001
0.02922726981341839,745270.625,0.000284713227301836,0.0007129512378014624,0.0007504934328608215,0.0024225821252912283,0.001
0.028130823746323586,775325.375,0.00027356206555850804,0.0007334479596465826,0.0007681748829782009,0.0023806404788047075,0.001
0.028952190652489662,815224.8125,0.0002816571213770658,0.0007392650586552918,0.000784847536124289,0.0024421734269708395,0.001
0.027334922924637794,756660.75,0.00026519765378907323,0.0007890930282883346,0.0007936378824524581,0.0023790504783391953,0.001
0.027851728722453117,708314.3125,0.00027038526604883373,0.0007320145377889276,0.0008459678501822054,0.002421053359284997,0.001
0.027321087196469307,773556.25,0.0002653743722476065,0.0007208806346170604,0.0007988489815033972,0.00237860344350338,0.001
0.026898732408881187,737178.875,0.00026149689801968634,0.0007311701774597168,0.0007202032720670104,0.0023355584125965834,0.001
